mode,workload,expected_label,diagnosis_label,count
automatic,compute_saturation,vllm_compute_saturation,vllm_compute_saturation,4
automatic,healthy,vllm_healthy,vllm_healthy,3
automatic,kv_cache_pressure,vllm_kv_cache_pressure,vllm_kv_cache_pressure,4
automatic,long_output,vllm_long_output,vllm_long_output,6
automatic,long_prompt,vllm_long_prompt,vllm_long_prompt,3
automatic,queue_pressure,vllm_queue_pressure,vllm_queue_pressure,3
fixed_window,compute_saturation,vllm_compute_saturation,vllm_compute_saturation,5
fixed_window,healthy,vllm_healthy,vllm_healthy,5
fixed_window,kv_cache_pressure,vllm_kv_cache_pressure,vllm_kv_cache_pressure,7
fixed_window,long_output,vllm_long_output,vllm_long_output,6
fixed_window,long_prompt,vllm_long_prompt,vllm_long_prompt,5
fixed_window,queue_pressure,vllm_queue_pressure,vllm_queue_pressure,5
