source,workload,repetitions,automatic_trace_s,fixed_window_trace_s,trace_saved_s,trace_saved_percent,automatic_kernel_instances,fixed_window_kernel_instances,kernel_instances_avoided,kernel_instances_avoided_percent,automatic_profiler_report_count,fixed_window_profiler_report_count,automatic_success_or_match_rate,fixed_window_success_or_match_rate,request_count_automatic,request_count_fixed_window,p50_latency_ms_automatic,p50_latency_ms_fixed_window,p95_latency_ms_automatic,p95_latency_ms_fixed_window,throughput_rps_automatic,throughput_rps_fixed_window,success_rate_automatic,success_rate_fixed_window,prompt_tokens_mean_automatic,prompt_tokens_mean_fixed_window,output_tokens_mean_automatic,output_tokens_mean_fixed_window
rq1_microbenchmark,compute_bound,5,10.397,16.67,6.273,37.631,454.4,1910.8,1456.4,76.219,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rq1_microbenchmark,launch_overhead_or_small_kernel,5,11.917,23.162,11.245,48.549,154829.8,596429.8,441600.0,74.041,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rq1_microbenchmark,mixed,5,10.224,16.807,6.583,39.166,2344.0,10008.0,7664.0,76.579,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rq1_vllm_profiler_savings,queue_pressure,3,103.314,135.069,31.754,23.51,330831.333,661779.667,330948.333,50.009,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rq2_vllm_multiclass,compute_saturation,3,282.862,401.714,118.852,29.586,996920.0,1993846.0,996926.0,50.0,3.0,3.0,1.0,1.0,936.0,1872.0,2334.685,2335.484,2402.667,2365.749,10.154,10.164,1.0,1.0,115.0,115.0,57.848,55.981
rq2_vllm_multiclass,healthy,3,285.276,400.111,114.836,28.701,717570.0,1421070.0,703500.0,49.505,3.0,3.0,1.0,1.0,102.0,202.0,890.063,891.503,910.879,918.982,1.118,1.116,1.0,1.0,156.0,156.0,33.343,31.624
rq2_vllm_multiclass,kv_cache_pressure,3,278.21,385.865,107.655,27.9,741870.0,1483740.0,741870.0,50.0,3.0,3.0,1.0,1.0,144.0,288.0,5022.363,5020.613,5117.857,5109.373,1.566,1.566,1.0,1.0,1592.0,1592.0,86.0,86.0
rq2_vllm_multiclass,long_output,3,306.51,415.477,108.966,26.227,1466922.0,2639708.0,1172786.0,44.429,3.0,3.0,1.0,1.0,60.0,108.0,7114.595,7110.099,7199.396,7206.735,0.561,0.562,1.0,1.0,198.0,198.0,399.767,400.324
rq2_vllm_multiclass,long_prompt,3,282.216,385.721,103.505,26.834,690672.0,1323788.0,633116.0,47.826,3.0,3.0,1.0,1.0,192.0,368.0,1968.151,1971.526,2004.252,2005.546,2.003,2.001,1.0,1.0,1592.0,1592.0,29.0,29.0
rq2_vllm_multiclass,queue_pressure,3,283.368,396.469,113.101,28.527,993217.0,1986434.0,993217.0,50.0,3.0,3.0,1.0,1.0,816.0,1632.0,1766.533,1767.254,1827.059,1799.226,8.934,8.935,1.0,1.0,156.0,156.0,37.814,35.528
rq2_vllm_multiclass_total,all_vllm_scenarios,18,1718.442,2385.357,666.916,27.959,5607171.0,10848586.0,5241415.0,48.314,18.0,18.0,1.0,1.0,2250.0,4470.0,2331.344,2321.167,2393.972,2357.611,7.801,7.849,1.0,1.0,354.507,350.586,57.929,55.446
