scenario,policy,repetitions,top1_accuracy,ever_correct_rate,premature_stop_rate,re_escalation_rate,heavy_trace_duration_s_mean,heavy_trace_duration_s_ci95_half_width,selected_windows_mean,selected_windows_ci95_half_width,duration_saved_vs_repeated_fixed_percent
compute_saturation,counter_recovery_stop,3,1.0,1.0,0.0,0.0,30.726,0.101,4.0,0.0,-2.421
compute_saturation,fixed_burst,3,1.0,1.0,0.0,1.0,10.0,0.0,1.0,0.0,66.667
compute_saturation,hybrid_stop,3,1.0,1.0,0.0,0.0,30.726,0.101,4.0,0.0,-2.421
compute_saturation,marginal_utility_stop,3,1.0,1.0,0.0,1.0,20.0,0.0,2.0,0.0,33.333
compute_saturation,repeated_fixed_burst,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
compute_saturation,stability_stop,3,1.0,1.0,0.0,1.0,20.0,0.0,2.0,0.0,33.333
healthy,counter_recovery_stop,3,1.0,1.0,0.0,0.0,30.421,0.08,4.0,0.0,-1.404
healthy,fixed_burst,3,1.0,1.0,0.0,1.0,10.0,0.0,1.0,0.0,66.667
healthy,hybrid_stop,3,1.0,1.0,0.0,0.0,30.421,0.08,4.0,0.0,-1.404
healthy,marginal_utility_stop,3,1.0,1.0,0.0,1.0,20.0,0.0,2.0,0.0,33.333
healthy,repeated_fixed_burst,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
healthy,stability_stop,3,1.0,1.0,0.0,1.0,20.0,0.0,2.0,0.0,33.333
kv_cache_pressure,counter_recovery_stop,3,1.0,1.0,0.0,0.0,30.66,0.049,4.0,0.0,-2.199
kv_cache_pressure,fixed_burst,3,1.0,1.0,0.0,1.0,10.0,0.0,1.0,0.0,66.667
kv_cache_pressure,hybrid_stop,3,1.0,1.0,0.0,0.0,30.66,0.049,4.0,0.0,-2.199
kv_cache_pressure,marginal_utility_stop,3,1.0,1.0,0.0,1.0,20.0,0.0,2.0,0.0,33.333
kv_cache_pressure,repeated_fixed_burst,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
kv_cache_pressure,stability_stop,3,1.0,1.0,0.0,1.0,20.0,0.0,2.0,0.0,33.333
long_output,counter_recovery_stop,3,1.0,1.0,0.0,0.0,35.662,0.049,4.0,0.0,-18.872
long_output,fixed_burst,3,1.0,1.0,0.0,1.0,10.0,0.0,1.0,0.0,66.667
long_output,hybrid_stop,3,1.0,1.0,0.0,0.0,35.662,0.049,4.0,0.0,-18.872
long_output,marginal_utility_stop,3,1.0,1.0,0.0,1.0,20.0,0.0,2.0,0.0,33.333
long_output,repeated_fixed_burst,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
long_output,stability_stop,3,1.0,1.0,0.0,1.0,20.0,0.0,2.0,0.0,33.333
long_prompt,counter_recovery_stop,3,1.0,1.0,0.0,0.0,31.945,0.041,4.0,0.0,-6.482
long_prompt,fixed_burst,3,1.0,1.0,0.0,1.0,10.0,0.0,1.0,0.0,66.667
long_prompt,hybrid_stop,3,1.0,1.0,0.0,0.0,31.945,0.041,4.0,0.0,-6.482
long_prompt,marginal_utility_stop,3,1.0,1.0,0.0,1.0,20.0,0.0,2.0,0.0,33.333
long_prompt,repeated_fixed_burst,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
long_prompt,stability_stop,3,1.0,1.0,0.0,1.0,20.0,0.0,2.0,0.0,33.333
queue_pressure,counter_recovery_stop,3,1.0,1.0,0.0,0.0,30.446,0.075,4.0,0.0,-1.487
queue_pressure,fixed_burst,3,1.0,1.0,0.0,1.0,10.0,0.0,1.0,0.0,66.667
queue_pressure,hybrid_stop,3,1.0,1.0,0.0,0.0,30.446,0.075,4.0,0.0,-1.487
queue_pressure,marginal_utility_stop,3,1.0,1.0,0.0,1.0,20.0,0.0,2.0,0.0,33.333
queue_pressure,repeated_fixed_burst,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
queue_pressure,stability_stop,3,1.0,1.0,0.0,1.0,20.0,0.0,2.0,0.0,33.333
